,proportion_of_pop_by_age,,,,,,,,,,,,,,,,,,,,,,,,,,,
infection factor,0-4,5-14,>=15,OR  disease,OR infection,,comorbidities,,,,,,,,,,,,,,,,,,,,,
MJ_use,0,0.05,0.2,3,3.65,,number of comorbidities,0,1,2,>=3,,,,,,,,,,,,,,,,,
contact,13%,13%,13%,5,2.53,,proportion comorbidity,0.25,0.1,0.3,0.35,,,,,,,,,,,,,,,,,
renal,0,0.01,0.15,10,2.19,,,,,,,,,,,,,,,,,,,,,,,
infection_risk_by_age,0.015,0.025,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
diabetes,0,0,0.3,3,,,,,,,,,,,,,,,,,,,,,,,,
smoking,0,0.1,0.6,2,,,,,,,,,,,,,,,,,,,,,,,,
chronic lung disease,0,0.1,0.2,3,,,,,,,,,,,,,,,,,,,,,,,,
alcohol/drugs,0,0.4,0.4,3,,,,,,,,,,,,,,,,,,,,,,,,2
population_fraction,0.09,0.17,0.74,,,,,factor,prevalence,,,,,,,,,,,,,,,,,,,
renal,0,0.01,0.12,3.6,,,,"Female sex, n (%)",56%,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Close contact with infectious TB case, n (%)",13%,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Current smoker, n (%)",52%,,,,,,,,,,,,,,,,,,,3
,,,,,,,,"Ever smoker, n (%)*",53%,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Never smoker, n (%)",46%,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Ever water-pipe marijuana use, n (%)*",18%,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Renal disease, n (%)",12%,,,,,,,,,,,,,,,,,,,4
,,,,,,,,"Diabetes, n (%)",25%,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Chronic lung disease, n (%)",19%,,,,,,,,,,,,,,,,,,,
,,,,,,,,"BCG vaccinated, n (%)",68%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
