age,y1,y2,y3
0,0.33,0.1,0.001
1,0.33,0.1,0.001
2,0.33,0.1,0.001
3,0.33,0.1,0.001
4,0.33,0.1,0.001
5,0.01,0.01,0.001
6,0.01,0.01,0.001
7,0.01,0.01,0.001
8,0.01,0.01,0.001
9,0.01,0.01,0.001
10,0.01,0.01,0.001
11,0.01,0.01,0.001
12,0.01,0.01,0.001
13,0.01,0.01,0.001
14,0.01,0.01,0.001
15,0.01,0.01,0.001
16,0.025,0.025,0.001
17,0.025,0.025,0.001
18,0.025,0.025,0.001
19,0.025,0.025,0.001
20,0.025,0.025,0.001
21,0.025,0.025,0.001
22,0.025,0.025,0.001
23,0.025,0.025,0.001
24,0.025,0.025,0.001
25,0.025,0.025,0.001
26,0.025,0.025,0.001
27,0.025,0.025,0.001
28,0.025,0.025,0.001
29,0.025,0.025,0.001
30,0.025,0.025,0.001
31,0.025,0.025,0.001
32,0.025,0.025,0.001
33,0.025,0.025,0.001
34,0.025,0.025,0.001
35,0.025,0.025,0.001
36,0.025,0.025,0.001
37,0.025,0.025,0.001
38,0.025,0.025,0.001
39,0.025,0.025,0.001
40,0.025,0.025,0.001
41,0.025,0.025,0.001
42,0.025,0.025,0.001
43,0.025,0.025,0.001
44,0.025,0.025,0.001
45,0.025,0.025,0.001
46,0.025,0.025,0.001
47,0.025,0.025,0.001
48,0.025,0.025,0.001
49,0.025,0.025,0.001
50,0.025,0.025,0.001
51,0.025,0.025,0.001
52,0.025,0.025,0.001
53,0.025,0.025,0.001
54,0.025,0.025,0.001
55,0.025,0.025,0.001
56,0.025,0.025,0.001
57,0.025,0.025,0.001
58,0.025,0.025,0.001
59,0.025,0.025,0.001
60,0.025,0.025,0.001
61,0.025,0.025,0.001
62,0.025,0.025,0.001
63,0.025,0.025,0.001
64,0.025,0.025,0.001
65,0.025,0.025,0.001
66,0.025,0.025,0.001
67,0.025,0.025,0.001
68,0.025,0.025,0.001
69,0.025,0.025,0.001
70,0.025,0.025,0.001
71,0.025,0.025,0.001
72,0.025,0.025,0.001
73,0.025,0.025,0.001
74,0.025,0.025,0.001
75,0.025,0.025,0.001
76,0.025,0.025,0.001
77,0.025,0.025,0.001
78,0.025,0.025,0.001
79,0.025,0.025,0.001
80,0.025,0.025,0.001
81,0.025,0.025,0.001
82,0.025,0.025,0.001
83,0.025,0.025,0.001
84,0.025,0.025,0.001
85,0.025,0.025,0.001
